NAME,A,AUPPER,ALOWER,UA,PER,PERUPPER,PERLOWER,UPER,ECC,ECCUPPER,ECCLOWER,UECC,OM,OMUPPER,OMLOWER,UOM,J,JUPPER,JLOWER,UJ,H,HUPPER,HLOWER,UH,Ks,KsUPPER,KsLOWER,UKs,KP,KPUPPER,KPLOWER,UKP,3p6,3p6UPPER,3p6LOWER,U3p6,4p5,4p5UPPER,4p5LOWER,U4p5,5p8,5p8UPPER,5p8LOWER,U5p8,8p0,8p0UPPER,8p0LOWER,U8p0,AR,ARUPPER,ARLOWER,UAR,MP,MPUPPER,MPLOWER,UMP,RP,RPUPPER,RPLOWER,URP,MS,MSUPPER,MSLOWER,UMS,RS,RSUPPER,RSLOWER,URS,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,GRAVITY,GRAVITYUPPER,GRAVITYLOWER,UGRAVITY,FEH,FEHUPPER,FEHLOWER,UFEH,LAMBDA,LAMBDAUPPER,LAMBDALOWER,ULAMBDA,DATE
,au,au,au,au,day,day,day,day,,,,,deg,deg,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mjupiter,mjupiter,mjupiter,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,msun,msun,msun,msun,rsun,rsun,rsun,rsun,k,k,k,k,,,,,,,,,deg,deg,deg,deg,
Kepler-44 b,0.0454854,0.0012741,0.0012741,0.0012741,3.24674,0.000018,0.000018,0.000018,0,0.021,0,0.0105,90,,,,,,,,,,,,,,,,0.0000219,0.0000149,0.0000149,0.0000149,,,,,,,,,,,,,,,,,6.44926,0.42244,0.42244,0.42244,1.02109,0.0700655,0.0700655,0.0700655,1.24,0.07,0.07,0.07,1.19,0.1,0.1,0.1,1.52,0.09,0.09,0.09,5757,134,134,134,3.21254,0.208839,0.208839,0.208839,0.26,0.1,0.1,0.1,,,,,2011
HD 149026 b,0.0431325,0.000718875,0.000718875,0.000718875,2.8758911,0.0000025,0.0000025,0.0000025,0,,,,90,,,,,,,,,,,,,,,,,,,,0.0004,0.00003,0.00003,0.00003,0.00034,0.00006,0.00006,0.00006,0.00044,0.0001,0.0001,0.0001,0.000411,0.000076,0.000076,0.000076,6.79517,0.516738,0.516738,0.516738,0.361471,0.0155987,0.0155987,0.0155987,0.654,0.06,0.046,0.053,1.294,0.06,0.05,0.055,1.368,0.12,0.08300000000000002,0.1015,6160,50,50,50,3.23839,0.0683791,0.0683791,0.0683791,0.36,0.08,0.08,0.08,12,7,7,7,2005
HAT-P-7 b,0.037964,0.000632733,0.000632733,0.000632733,2.204737,0.000017,0.000017,0.000017,0,0.039,0,0.0195,90,,,,,,,,,,,,,,,,0.0000693,5e-7,5e-7,5e-7,0.00098,0.00017,0.00017,0.00017,0.00159,0.00022,0.00022,0.00022,0.00245,0.00031,0.00031,0.00031,0.00225,0.00052,0.00052,0.00052,4.13018,0.151999,0.151999,0.151999,1.7916,0.0631816,0.0631816,0.0631816,1.363,0.195,0.08699999999999997,0.141,1.5,0.03,0.03,0.03,1.981,0.013,0.117,0.065,6389,0,34,17,3.29971,0.0324091,0.0324091,0.0324091,0.26,0.08,0.08,0.08,-177.5,9.4,9.4,9.4,2008
WASP-33 b,0.0255483,0.000425806,0.000425806,0.000425806,1.21986983,4.5e-7,4.5e-7,4.5e-7,0,,,,90,,,,,,,,,,,,0.00244,0.00027,0.00019999999999999998,0.000235,,,,,0.0026,0.0005,0.0005,0.0005,0.0041,0.0002,0.0002,0.0002,,,,,,,,,3.81309,0.109998,0.109998,0.109998,0,4.1,0,2.05,1.497,0.045,0.045,0.045,1.495,0.031,0.031,0.031,1.444,0.034,0.034,0.034,7430,100,100,100,,,,,0.1,0.2,0.2,0.2,-108.8,1,1,1,2006
TrES-1 b,0.0392516,0.000654194,0.000654194,0.000654194,3.030065,0.000008,0.000008,0.000008,0,,,,90,,,,,,,,,,,,,,,,,,,,,,,,0.00066,0.00013,0.00013,0.00013,,,,,0.00225,0.00036,0.00036,0.00036,10.4825,0.276513,0.276513,0.276513,0.752484,0.0476367,0.0476367,0.0476367,1.067,0.022,0.020999999999999998,0.0215,0.878,0.038,0.04,0.039,0.807,0.017,0.016,0.0165,5230,50,50,50,3.21692,0.0328006,0.0328006,0.0328006,0.02,0.05,0.05,0.05,30,21,21,21,2004
XO-2 b,0.0368369,0.000613948,0.000613948,0.000613948,2.615857,0.000005,0.000005,0.000005,0,,,,90,,,,,,,,,,,,,,,,,,,,0.00081,0.00017,0.00017,0.00017,0.00098,0.0002,0.0002,0.0002,0.00167,0.00036,0.00036,0.00036,0.00133,0.00049,0.00049,0.00049,8.17608,0.261456,0.261456,0.261456,0.566541,0.0565565,0.0565565,0.0565565,0.983,0.029,0.028,0.0285,0.974,0.032,0.034,0.033,0.971,0.027,0.026,0.0265,5340,80,80,80,3.16499,0.049957,0.049957,0.049957,0.45,0.05,0.05,0.05,,,,,2007
TrES-4 b,0.0509243,0.000848739,0.000848739,0.000848739,3.553945,0.000075,0.000075,0.000075,0,,,,90,,,,,,,,,,,,,,,,,,,,0.00137,0.00011,0.00011,0.00011,0.00148,0.00016,0.00016,0.00016,0.00261,0.00059,0.00059,0.00059,0.00318,0.00044,0.00044,0.00044,6.04354,0.234102,0.234102,0.234102,0.925,0.082,0.082,0.082,1.783,0.093,0.086,0.0895,1.394,0.06,0.05600000000000001,0.058,1.816,0.065,0.062,0.0635,6200,75,75,75,2.87242,0.0471373,0.0471373,0.0471373,0.14,0.09,0.09,0.09,7.3,4.6,4.6,4.6,2007
OGLE-TR-113 b,0.0228946,0.000381577,0.000381577,0.000381577,1.4324757,0.0000013,0.0000013,0.0000013,0,,,,90,,,,,,,,,,,,0.0017,0.0005,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,6.37491,0.166092,0.166092,0.166092,1.26,0.16,0.16,0.16,1.093,0.028,0.022000000000000002,0.025,0.779,0.016,0.016,0.016,0.774,0.02,0.011,0.0155,4790,75,75,75,3.41862,0.0601128,0.0601128,0.0601128,0.09,0.08,0.08,0.08,,,,,2004
Kepler-41 b,0.0289537,0.000924056,0.000924056,0.000924056,1.855558,0.0000071,0.0000071,0.0000071,0,,,,90,,,,,,,,,,,,,,,,0.0000462,0.0000087,0.0000087,0.0000087,,,,,,,,,,,,,,,,,6.45966,0.297138,0.297138,0.297138,0.493545,0.0711857,0.0711857,0.0711857,0.841,0.032,0.032,0.032,0.94,0.09,0.09,0.09,0.966,0.032,0.032,0.032,5660,100,100,100,3.23957,0.0689577,0.0689577,0.0689577,-0.09,0.16,0.16,0.16,,,,,2011
55 Cnc e,0.0154393,0.000257321,0.000257321,0.000257321,0.736546,0.000003,0.000003,0.000003,0,,,,90,,,,,,,,,,,,,,,,,,,,,,,,0.000131,0.000028,0.000028,0.000028,,,,,,,,,3.52856,0.0697041,0.0697041,0.0697041,0.0263671,0.00123472,0.00123472,0.00123472,0.185565,0.0142742,0.0142742,0.0142742,0.905,0.015,0.015,0.015,0.943,0.01,0.01,0.01,5196,24,24,24,3.23513,0.052011,0.052011,0.052011,0.314513,0.03,0.03,0.03,,,,,2004
